ID,Incident_Num,Incident_Type,Occured_date_time,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender
285-1604-240,285,Level 1 - Use of Force,06/16/2014 09:22:00 PM,E,G,G1,1604,240,Black or African American,Male
286-1640-240,286,Level 1 - Use of Force,06/16/2014 09:22:00 PM,E,G,G1,1640,240,Black or African American,Male
291-1561-245,291,Level 1 - Use of Force,06/17/2014 06:16:00 PM,E,G,G3,1561,245,Black or African American,Male
292-1542-245,292,Level 1 - Use of Force,06/17/2014 06:21:00 PM,E,G,G3,1542,245,Black or African American,Male
293-1635-245,293,Level 1 - Use of Force,06/17/2014 06:30:00 PM,E,G,G3,1635,245,Black or African American,Male
1569-1796-245,1569,Level 1 - Use of Force,05/12/2014 03:42:00 PM,N,L,L1,1796,245,Black or African American,Male
1570-188-245,1570,Level 1 - Use of Force,05/12/2014 03:42:00 PM,N,L,L1,188,245,Black or African American,Male
1572-1582-245,1572,Level 1 - Use of Force,05/12/2014 03:42:00 PM,N,L,L1,1582,245,Black or African American,Male
1673-1110-249,1673,Level 1 - Use of Force,05/25/2014 12:22:00 AM,S,R,R1,1110,249,White,Male
301-1775-254,301,Level 1 - Use of Force,06/21/2014 10:10:00 PM,W,K,K2,1775,254,American Indian/Alaska Native,Female
1806-1575-254,1806,Level 1 - Use of Force,06/28/2014 08:43:00 PM,S,O,O1,1575,254,American Indian/Alaska Native,Female
1811-1565-254,1811,Level 1 - Use of Force,06/28/2014 08:43:00 PM,S,O,O1,1565,254,American Indian/Alaska Native,Female
1819-1227-254,1819,Level 1 - Use of Force,06/28/2014 08:43:00 PM,S,O,O1,1227,254,American Indian/Alaska Native,Female
302-1734-255,302,Level 1 - Use of Force,06/21/2014 10:10:00 PM,W,K,K2,1734,255,Not Specified,Female
303-1087-256,303,Level 2 - Use of Force,06/21/2014 07:43:00 AM,E,G,G3,1087,256,Black or African American,Male
6821-407-256,6821,Level 1 - Use of Force,08/22/2015 09:20:00 AM,E,G,G3,407,256,Black or African American,Male
6820-1617-256,6820,Level 1 - Use of Force,08/22/2015 09:25:00 AM,E,G,G3,1617,256,Black or African American,Male
6819-1192-256,6819,Level 1 - Use of Force,08/22/2015 08:44:00 AM,E,G,G3,1192,256,Black or African American,Male
6818-1832-256,6818,Level 1 - Use of Force,08/22/2015 08:44:00 AM,E,G,G3,1832,256,Black or African American,Male
6817-1087-256,6817,Level 1 - Use of Force,08/22/2015 08:44:00 AM,E,G,G3,1087,256,Black or African American,Male
305-408-257,305,Level 3 - Use of Force,06/22/2014 12:29:00 AM,W,K,K3,408,257,Black or African American,Male
306-1577-257,306,Level 1 - Use of Force,06/22/2014 12:29:00 AM,W,K,K3,1577,257,Black or African American,Male
307-1680-258,307,Level 2 - Use of Force,06/22/2014 02:25:00 PM,W,K,K2,1680,258,Black or African American,Male
310-675-258,310,Level 2 - Use of Force,06/22/2014 02:26:00 PM,W,K,K2,675,258,Black or African American,Male
308-927-258,308,Level 2 - Use of Force,06/22/2014 02:24:00 PM,W,K,K2,927,258,Black or African American,Male
309-1730-260,309,Level 2 - Use of Force,06/22/2014 02:24:00 PM,W,K,K2,1730,260,Black or African American,Male
307-1680-262,307,Level 2 - Use of Force,06/22/2014 02:25:00 PM,W,K,K2,1680,262,White,Male
311-1593-265,311,Level 1 - Use of Force,06/22/2014 12:33:00 AM,E,G,G3,1593,265,White,Male
337-1637-265,337,Level 1 - Use of Force,06/22/2014 12:33:00 AM,E,G,G3,1637,265,White,Male
6308-1668-285,6308,Level 1 - Use of Force,07/31/2015 07:20:00 AM,S,S,S3,1668,285,Black or African American,Male
16628-2160-285,16628,Level 1 - Use of Force,07/27/2017 04:25:00 PM,S,S,S3,2160,285,Black or African American,Male
16692-2199-285,16692,Level 1 - Use of Force,07/27/2017 04:26:00 PM,S,S,S3,2199,285,Black or African American,Male
334-948-287,334,Level 2 - Use of Force,06/25/2014 05:13:00 PM,W,M,M3,948,287,Black or African American,Male
335-619-287,335,Level 2 - Use of Force,06/25/2014 05:13:00 PM,W,M,M3,619,287,Black or African American,Male
336-1164-287,336,Level 2 - Use of Force,06/25/2014 05:13:00 PM,W,M,M3,1164,287,Black or African American,Male
338-1666-287,338,Level 2 - Use of Force,06/25/2014 05:15:00 PM,W,M,M3,1666,287,Black or African American,Male
340-1640-289,340,Level 3 - Use of Force,06/25/2014 11:40:00 PM,W,D,D3,1640,289,Black or African American,Male
339-1622-289,339,Level 3 - Use of Force,06/25/2014 11:30:00 PM,W,D,D3,1622,289,Black or African American,Male
342-1662-289,342,Level 3 - Use of Force,06/25/2014 11:30:00 PM,W,D,D3,1662,289,Black or African American,Male
341-1604-290,341,Level 2 - Use of Force,06/25/2014 11:30:00 PM,W,D,D3,1604,290,Black or African American,Male
352-1719-297,352,Level 1 - Use of Force,06/27/2014 12:30:00 AM,N,L,L2,1719,297,White,Male
351-709-298,351,Level 1 - Use of Force,06/26/2014 11:56:00 PM,W,D,D2,709,298,Black or African American,Female
17475-1697-298,17475,Level 1 - Use of Force,09/24/2017 04:22:00 PM,W,M,M2,1697,298,Black or African American,Female
349-1132-300,349,Level 2 - Use of Force,06/26/2014 03:03:00 PM,N,J,J3,1132,300,White,Male
350-967-300,350,Level 2 - Use of Force,06/26/2014 03:03:00 PM,N,J,J3,967,300,White,Male
12484-1615-300,12484,Level 1 - Use of Force,08/27/2016 01:41:00 PM,N,B,B1,1615,300,White,Male
357-1611-302,357,Level 1 - Use of Force,06/27/2014 10:30:00 PM,N,U,U2,1611,302,White,Female
358-1783-308,358,Level 1 - Use of Force,06/27/2014 11:25:00 PM,N,N,N3,1783,308,White,Female
359-1697-309,359,Level 2 - Use of Force,06/29/2014 03:20:00 AM,W,M,M1,1697,309,White,Male
360-1265-309,360,Level 2 - Use of Force,06/29/2014 03:20:00 AM,W,M,M1,1265,309,White,Male
395-1582-310,395,Level 1 - Use of Force,06/29/2014 06:08:00 PM,N,L,L1,1582,310,White,Male
396-1802-310,396,Level 1 - Use of Force,06/29/2014 05:32:00 PM,N,L,L1,1802,310,White,Male
362-948-311,362,Level 1 - Use of Force,06/29/2014 01:01:00 PM,W,D,D1,948,311,White,Male
364-1763-312,364,Level 1 - Use of Force,06/28/2014 10:55:00 PM,N,L,L1,1763,312,Black or African American,Male
404-338-312,404,Level 1 - Use of Force,06/28/2014 10:57:00 PM,N,L,L1,338,312,Black or African American,Male
361-827-312,361,Level 1 - Use of Force,06/28/2014 11:10:00 PM,N,L,L1,827,312,Black or African American,Male
363-1763-313,363,Level 1 - Use of Force,06/28/2014 11:53:00 PM,N,L,L2,1763,313,White,Male
14332-318-11708,14332,Level 2 - Use of Force,01/20/2017 09:00:00 PM,N,U,U2,318,11708,Not Specified,Not Specified
14337-1664-11711,14337,Level 1 - Use of Force,02/01/2017 09:00:00 PM,W,D,D1,1664,11711,Black or African American,Female
14335-1697-11711,14335,Level 1 - Use of Force,02/01/2017 09:00:00 PM,W,D,D1,1697,11711,Black or African American,Female
14338-1239-11711,14338,Level 1 - Use of Force,02/01/2017 09:00:00 PM,W,D,D1,1239,11711,Black or African American,Female
14352-1665-11717,14352,Level 1 - Use of Force,02/02/2017 05:50:00 PM,N,L,L2,1665,11717,White,Male
14354-1875-11719,14354,Level 1 - Use of Force,02/02/2017 11:13:00 PM,W,D,D1,1875,11719,Black or African American,Female
19425-1875-11720,19425,Level 2 - Use of Force,01/30/2018 09:52:00 PM,W,M,M3,1875,11720,Not Specified,Male
19426-1239-11720,19426,Level 2 - Use of Force,01/30/2018 09:52:00 PM,W,M,M3,1239,11720,Not Specified,Male
14448-655-11791,14448,Level 1 - Use of Force,02/11/2017 09:43:00 AM,N,L,L3,655,11791,White,Female
14449-1076-11792,14449,Level 1 - Use of Force,02/11/2017 02:10:00 PM,W,D,D2,1076,11792,Asian,Female
14451-102-11793,14451,Level 1 - Use of Force,02/11/2017 02:10:00 AM,E,E,E2,102,11793,Black or African American,Male
14456-1559-11797,14456,Level 1 - Use of Force,02/12/2017 01:52:00 PM,N,J,J3,1559,11797,Asian,Female
14460-1871-11797,14460,Level 1 - Use of Force,02/12/2017 01:32:00 PM,N,J,J3,1871,11797,Asian,Female
14413-911-11757,14413,Level 1 - Use of Force,02/08/2017 11:58:00 AM,SW,F,F2,911,11757,White,Female
14414-900-11758,14414,Level 1 - Use of Force,02/08/2017 01:50:00 PM,X,X,XX,900,11758,Not Specified,Male
14416-1135-11758,14416,Level 1 - Use of Force,02/08/2017 01:50:00 PM,X,X,XX,1135,11758,Not Specified,Male
14419-1074-11760,14419,Level 1 - Use of Force,02/08/2017 01:50:00 PM,X,X,XX,1074,11760,Black or African American,Male
14434-1190-11774,14434,Level 1 - Use of Force,02/08/2017 09:30:00 PM,X,X,XX,1190,11774,Not Specified,Not Specified
14430-1044-11775,14430,Level 2 - Use of Force,02/08/2017 08:45:00 PM,X,X,XX,1044,11775,Not Specified,Not Specified
14434-1190-11775,14434,Level 1 - Use of Force,02/08/2017 09:30:00 PM,X,X,XX,1190,11775,Not Specified,Not Specified
14435-811-11775,14435,Level 2 - Use of Force,02/08/2017 09:30:00 PM,X,X,XX,811,11775,Not Specified,Not Specified
14430-1044-11776,14430,Level 2 - Use of Force,02/08/2017 08:45:00 PM,X,X,XX,1044,11776,Not Specified,Not Specified
14434-1190-11776,14434,Level 1 - Use of Force,02/08/2017 09:30:00 PM,X,X,XX,1190,11776,Not Specified,Not Specified
14442-2017-11785,14442,Level 1 - Use of Force,02/10/2017 08:26:00 PM,W,K,K3,2017,11785,Not Specified,Male
14443-1155-11786,14443,Level 1 - Use of Force,02/10/2017 07:51:00 PM,E,C,C2,1155,11786,Not Specified,Male
14443-1155-11787,14443,Level 1 - Use of Force,02/10/2017 07:51:00 PM,E,C,C2,1155,11787,Not Specified,Male
14444-733-11788,14444,Level 1 - Use of Force,02/10/2017 07:51:00 PM,E,C,C2,733,11788,White,Male
14445-1142-11789,14445,Level 1 - Use of Force,02/10/2017 07:51:00 PM,E,C,C2,1142,11789,White,Male
14446-1822-11790,14446,Level 2 - Use of Force,02/11/2017 12:32:00 AM,N,U,U2,1822,11790,Black or African American,Male
14469-1567-11804,14469,Level 1 - Use of Force,02/13/2017 09:50:00 AM,N,J,J2,1567,11804,Not Specified,Male
14471-1238-11804,14471,Level 1 - Use of Force,02/13/2017 09:50:00 AM,N,J,J2,1238,11804,Not Specified,Male
14518-1619-11826,14518,Level 1 - Use of Force,02/19/2017 04:23:00 AM,S,R,R3,1619,11826,Black or African American,Male
16088-2364-11828,16088,Level 1 - Use of Force,06/19/2017 03:15:00 AM,W,K,K2,2364,11828,Black or African American,Male
14520-2219-11828,14520,Level 1 - Use of Force,02/19/2017 05:56:00 PM,W,D,D2,2219,11828,Black or African American,Male
14521-2097-11829,14521,Level 1 - Use of Force,02/19/2017 08:50:00 PM,E,E,E2,2097,11829,Black or African American,Male
14498-175-11812,14498,Level 1 - Use of Force,02/16/2017 11:07:00 AM,SW,F,F1,175,11812,Black or African American,Male
14500-2156-11813,14500,Level 2 - Use of Force,02/16/2017 05:15:00 PM,X,99,99,2156,11813,White,Male
19243-4759-11813,19243,Level 1 - Use of Force,01/20/2018 04:04:00 AM,N,N,N2,4759,11813,White,Male
14501-1849-11814,14501,Level 1 - Use of Force,02/17/2017 04:15:00 AM,X,99,99,1849,11814,White,Male
14506-2296-11817,14506,Level 1 - Use of Force,02/17/2017 07:35:00 AM,SW,F,F1,2296,11817,Not Specified,Male
14512-1809-11819,14512,Level 1 - Use of Force,02/16/2017 02:11:00 AM,S,S,S2,1809,11819,Black or African American,Male
14510-334-11819,14510,Level 1 - Use of Force,02/17/2017 02:58:00 AM,S,S,S2,334,11819,Black or African American,Male
14509-2241-11819,14509,Level 1 - Use of Force,02/17/2017 02:58:00 AM,S,S,S2,2241,11819,Black or African American,Male
14514-1796-11822,14514,Level 1 - Use of Force,02/18/2017 08:11:00 PM,S,R,R2,1796,11822,Black or African American,Male
14515-2235-11823,14515,Level 1 - Use of Force,02/18/2017 08:46:00 PM,W,K,K2,2235,11823,White,Male
14540-2218-11850,14540,Level 2 - Use of Force,02/19/2017 11:26:00 PM,E,E,E1,2218,11850,Not Specified,Male
14539-2176-11851,14539,Level 2 - Use of Force,02/19/2017 11:26:00 PM,E,E,E1,2176,11851,Not Specified,Male
14541-2222-11853,14541,Level 1 - Use of Force,02/21/2017 11:31:00 PM,N,B,B1,2222,11853,White,Female
14548-967-11859,14548,Level 1 - Use of Force,02/22/2017 06:05:00 AM,N,J,J3,967,11859,White,Female
18304-1600-14423,18304,Level 1 - Use of Force,11/17/2017 11:29:00 PM,N,N,N3,1600,14423,Not Specified,Male
18305-2166-14423,18305,Level 1 - Use of Force,11/17/2017 11:29:00 PM,N,N,N3,2166,14423,Not Specified,Male
18301-1873-14423,18301,Level 1 - Use of Force,11/17/2017 11:12:00 PM,N,N,N3,1873,14423,Not Specified,Male
18303-1780-14423,18303,Level 1 - Use of Force,11/17/2017 11:12:00 PM,N,N,N3,1780,14423,Not Specified,Male
18314-2140-14426,18314,Level 1 - Use of Force,11/16/2017 10:59:00 PM,N,B,B1,2140,14426,Hispanic or Latino,Female
18315-1778-14427,18315,Level 1 - Use of Force,11/18/2017 02:50:00 AM,E,E,E2,1778,14427,Black or African American,Female
18321-1608-14428,18321,Level 1 - Use of Force,11/19/2017 06:19:00 PM,X,X,XX,1608,14428,Black or African American,Male
18323-1665-14428,18323,Level 1 - Use of Force,11/19/2017 06:19:00 PM,N,U,U1,1665,14428,Black or African American,Male
18328-2300-14429,18328,Level 1 - Use of Force,11/20/2017 01:21:00 AM,N,N,N2,2300,14429,White,Male
18432-2349-14449,18432,Level 1 - Use of Force,11/23/2017 05:45:00 AM,W,K,K3,2349,14449,White,Female
18366-2146-14450,18366,Level 1 - Use of Force,11/23/2017 06:07:00 PM,W,K,K1,2146,14450,White,Male
18369-1108-14451,18369,Level 2 - Use of Force,11/23/2017 10:48:00 PM,N,B,B1,1108,14451,Black or African American,Male
18373-1583-14451,18373,Level 2 - Use of Force,11/23/2017 10:49:00 PM,N,B,B1,1583,14451,Black or African American,Male
18740-2344-14451,18740,Level 2 - Use of Force,11/24/2017 10:40:00 PM,N,B,B1,2344,14451,Black or African American,Male
18408-1725-14468,18408,Level 1 - Use of Force,11/27/2017 11:44:00 PM,W,Q,Q3,1725,14468,White,Male
18409-1785-14469,18409,Level 1 - Use of Force,11/28/2017 02:40:00 AM,W,D,D2,1785,14469,Not Specified,Female
18411-1881-14469,18411,Level 1 - Use of Force,11/28/2017 01:44:00 AM,W,K,K2,1881,14469,Not Specified,Female
18412-2238-14470,18412,Level 1 - Use of Force,11/28/2017 01:40:00 AM,-,-,-,2238,14470,Black or African American,Female
18410-2185-14471,18410,Level 1 - Use of Force,11/28/2017 01:33:00 AM,W,K,K1,2185,14471,Black or African American,Female
18423-2334-14473,18423,Level 1 - Use of Force,11/28/2017 11:56:00 AM,E,E,E1,2334,14473,White,Male
18351-2017-14439,18351,Level 1 - Use of Force,11/21/2017 12:19:00 PM,W,D,D3,2017,14439,White,Male
18355-1572-14441,18355,Level 1 - Use of Force,11/21/2017 07:20:00 PM,X,X,XX,1572,14441,White,Male
18390-1665-14441,18390,Level 1 - Use of Force,11/21/2017 07:15:00 PM,N,J,J1,1665,14441,White,Male
18357-2239-14442,18357,Level 1 - Use of Force,11/22/2017 01:39:00 AM,N,N,N1,2239,14442,White,Male
18358-1862-14443,18358,Level 1 - Use of Force,11/21/2017 08:30:00 PM,E,E,E2,1862,14443,White,Female
18374-2349-14454,18374,Level 1 - Use of Force,11/23/2017 10:15:00 AM,E,G,G1,2349,14454,White,Male
18377-2200-14455,18377,Level 1 - Use of Force,11/24/2017 08:20:00 AM,N,B,B3,2200,14455,Not Specified,Female
18375-2133-14456,18375,Level 1 - Use of Force,11/24/2017 08:20:00 AM,N,B,B3,2133,14456,Not Specified,Female
18379-1805-14457,18379,Level 1 - Use of Force,11/24/2017 09:45:00 PM,N,J,J3,1805,14457,White,Male
18380-1781-14457,18380,Level 1 - Use of Force,11/24/2017 09:45:00 PM,N,J,J3,1781,14457,White,Male
18452-2109-14457,18452,Level 1 - Use of Force,11/30/2017 11:08:00 PM,W,Q,Q1,2109,14457,White,Male
18430-2423-14478,18430,Level 1 - Use of Force,11/28/2017 10:26:00 PM,W,M,M3,2423,14478,Black or African American,Male
18484-797-14513,18484,Level 1 - Use of Force,12/03/2017 07:12:00 AM,SW,W,W2,797,14513,Black or African American,Female
18486-2237-14515,18486,Level 1 - Use of Force,12/03/2017 07:00:00 PM,N,N,N3,2237,14515,Asian,Male
18482-2094-14516,18482,Level 1 - Use of Force,12/03/2017 07:30:00 AM,S,S,S1,2094,14516,Not Specified,Male
18525-1845-14727,18525,Level 1 - Use of Force,12/05/2017 06:00:00 PM,S,R,R3,1845,14727,Black or African American,Male
18520-498-14728,18520,Level 2 - Use of Force,12/05/2017 09:00:00 PM,E,G,G1,498,14728,Not Specified,Female
18527-2199-14734,18527,Level 1 - Use of Force,12/06/2017 12:37:00 PM,S,S,S3,2199,14734,Asian,Male
18532-2160-14734,18532,Level 1 - Use of Force,12/06/2017 12:32:00 PM,S,S,S3,2160,14734,Asian,Male
18538-1875-14738,18538,Level 1 - Use of Force,12/06/2017 09:33:00 PM,W,D,D1,1875,14738,Black or African American,Male
22427-645-14741,22427,Level 1 - Use of Force,03/18/2018 05:27:00 AM,N,J,J3,645,14741,White,Male
19396-1882-14741,19396,Level 1 - Use of Force,01/28/2018 05:36:00 PM,W,M,M3,1882,14741,White,Male
22397-1875-14745,22397,Level 2 - Use of Force,03/17/2018 02:07:00 AM,-,-,-,1875,14745,Black or African American,Male
18381-2140-14461,18381,Level 1 - Use of Force,11/25/2017 05:00:00 AM,N,N,N3,2140,14461,Hispanic or Latino,Male
18389-2348-14462,18389,Level 2 - Use of Force,11/25/2017 03:41:00 PM,N,L,L3,2348,14462,White,Male
16066-1637-12725,16066,Level 1 - Use of Force,06/16/2017 09:36:00 PM,W,K,K2,1637,12725,Not Specified,Female
18437-1619-14479,18437,Level 1 - Use of Force,11/29/2017 07:49:00 AM,SW,W,W1,1619,14479,Black or African American,Male
18433-671-14479,18433,Level 1 - Use of Force,11/29/2017 08:01:00 AM,SW,W,W1,671,14479,Black or African American,Male
18433-671-14480,18433,Level 1 - Use of Force,11/29/2017 08:01:00 AM,SW,W,W1,671,14480,Black or African American,Male
18442-1698-14480,18442,Level 1 - Use of Force,11/29/2017 08:01:00 AM,SW,W,W1,1698,14480,Black or African American,Male
18435-1575-14481,18435,Level 1 - Use of Force,11/29/2017 12:21:00 PM,S,S,S2,1575,14481,Asian,Male
18443-1054-14483,18443,Level 1 - Use of Force,11/29/2017 09:17:00 PM,S,S,S3,1054,14483,Black or African American,Male
18450-1665-14495,18450,Level 1 - Use of Force,11/30/2017 08:10:00 PM,N,L,L2,1665,14495,White,Male
18453-2420-14496,18453,Level 1 - Use of Force,12/01/2017 03:02:00 AM,N,U,U1,2420,14496,White,Male
18461-1878-14500,18461,Level 1 - Use of Force,12/01/2017 01:38:00 PM,E,C,C2,1878,14500,Not Specified,Male
18404-2422-14501,18404,Level 1 - Use of Force,11/27/2017 03:53:00 PM,S,S,S1,2422,14501,Black or African American,Male
18462-2147-14504,18462,Level 1 - Use of Force,12/01/2017 01:33:00 PM,E,G,G3,2147,14504,Not Specified,Male
18469-1178-14504,18469,Level 1 - Use of Force,12/01/2017 01:00:00 PM,S,S,S2,1178,14504,Not Specified,Male
18473-1616-14506,18473,Level 1 - Use of Force,12/01/2017 01:45:00 PM,N,J,J1,1616,14506,Not Specified,Male
18475-2347-14507,18475,Level 1 - Use of Force,12/02/2017 08:30:00 AM,W,Q,Q1,2347,14507,White,Female
